iterations,mean_reward,max_reward,total_loss,policy_loss,kl_loss,mean_diversity
510,0.9608957218317249,0.992874345174982,0.22199644148349762,0.14499613642692566,0.07700030505657196,0.5493266906385534
511,0.9623483258803509,0.9949348008379887,0.15353065729141235,0.07516901195049286,0.0783616453409195,0.7287162111663065
512,0.9656969055803268,0.9936481714759842,0.00353027880191803,-0.07644587755203247,0.0799761563539505,0.6168070860285868
513,0.9673079663509725,0.9953491754596396,0.05835609510540962,-0.01946612074971199,0.07782221585512161,0.6619806073716462
514,0.9695793398966163,0.995436535919031,0.10694743692874908,0.014990396797657013,0.09195704013109207,0.5848393961170282
515,0.9670313584101669,0.9911328847660673,0.11378062516450882,0.038123250007629395,0.07565737515687943,0.6218494499075482
516,0.9654664479750833,0.9926355217770624,-0.01788521558046341,-0.10911974310874939,0.09123452752828598,0.6350400809323882
517,0.9711665710309512,0.99640216459186,0.029660068452358246,-0.05420537292957306,0.0838654413819313,0.5634404811870202
518,0.9674102058368694,0.9931937492069959,0.053786296397447586,-0.045871999114751816,0.0996582955121994,0.5804205921723088
519,0.9686071395826675,0.9922573202348827,0.10004810243844986,0.01613292284309864,0.08391518145799637,0.5828716283571124
520,0.9702501715774394,0.9939792035816558,0.11502891778945923,0.02132897824048996,0.09369993954896927,0.5752128520941641
521,0.9704943750941712,0.9911631320097153,0.09952251613140106,0.008344050496816635,0.09117846190929413,0.4801623056904637
522,0.9678154873982698,0.9926298871653082,-0.008106537163257599,-0.10556062310934067,0.09745408594608307,0.68247355522617
523,0.9694036021039448,0.9950680182509624,0.0864303708076477,0.003359474241733551,0.08307089656591415,0.6722282524834081
524,0.9707153158655424,0.9921621928397089,0.14207704365253448,0.06941144168376923,0.07266560196876526,0.48919158800427204
525,0.9678503454813363,0.9903785387151952,0.09967944025993347,0.029932884499430656,0.06974655389785767,0.6264938631655628
526,0.9708211827074343,0.9938478371494185,0.05008634179830551,-0.017552152276039124,0.06763849407434464,0.47660917907103884
527,0.9693488930959779,0.9939141390872739,0.12401344627141953,0.05421317368745804,0.06980027258396149,0.4577050251882526
528,0.9654494434979015,0.9916638585493914,0.02315826714038849,-0.04673033952713013,0.06988860666751862,0.5774981051582765
529,0.9674292765755326,0.9893632683123428,0.10698593407869339,0.025607332587242126,0.08137860149145126,0.49764279736139994
530,0.9661710140473838,0.9898127984753492,0.07579565793275833,0.0066504646092653275,0.06914519518613815,0.554889600471405
531,0.9666796766476045,0.992717239880528,0.0973435565829277,0.02450454980134964,0.07283900678157806,0.6459881399608557
532,0.9690909962498968,0.9931175382190959,0.09321364760398865,0.027466636151075363,0.06574701517820358,0.6610321966503554
533,0.9682665589139257,0.9897226094916676,0.10447627305984497,0.03946581855416298,0.06501045823097229,0.5631028947406922
534,0.9700061727599818,0.9889517573533068,0.05953862518072128,-0.009771713986992836,0.06931033730506897,0.473589515052945
535,0.969190711999103,0.9963497057189312,0.12042367458343506,0.05386843904852867,0.06655523180961609,0.6512478062556787
536,0.9664376841906649,0.9942151396941821,0.015921521931886673,-0.04629334807395935,0.062214870005846024,0.6183764101578044
537,0.9678058797133793,0.9894611479106273,0.1411459743976593,0.08009784668684006,0.061048123985528946,0.5069410331367048
538,0.9697154881222745,0.9933444913619913,0.17450392246246338,0.1091441735625267,0.06535974144935608,0.40179129557659915
539,0.9679935122617546,0.9934237521443152,0.03635060042142868,-0.029498137533664703,0.06584873795509338,0.5234626289813902
540,0.9694586329213064,0.988734802809553,0.08441421389579773,0.016290560364723206,0.06812365353107452,0.4562777547357926
541,0.9634013376730102,0.9904557370830429,0.11549127101898193,-0.01682296395301819,0.13231423497200012,0.5312606700063848
542,0.9667515296280312,0.9957878581031018,0.12228149175643921,0.05696028098464012,0.06532120704650879,0.7069059473020816
543,0.9647295731223154,0.9903149386597341,0.12636539340019226,0.061716608703136444,0.06464877724647522,0.5675372127492958
544,0.9660402509416631,0.9913857720577937,0.06475874781608582,0.0014791414141654968,0.06327960640192032,0.6185584601240601
545,0.9664889515421226,0.9936946262594666,0.12355154752731323,0.06186985969543457,0.06168168783187866,0.5605142462634114
546,0.9677311400555638,0.9967806080137889,0.06976353377103806,0.006243722513318062,0.06351981312036514,0.43491177178632856
547,0.9693517158652972,0.993207908018304,0.07627719640731812,0.014404885470867157,0.06187231093645096,0.4849524673786205
548,0.9617614375848935,0.9945764073257172,0.09180323034524918,0.026781713590025902,0.06502151489257812,0.4691849538940849
549,0.967651962351791,0.994795013032772,0.1095731109380722,0.049814268946647644,0.05975883826613426,0.4776936335792896
550,0.963053363603559,0.9912653296061269,0.09998628497123718,0.02796120010316372,0.07202508300542831,0.5805572718015308
551,0.9644457016201982,0.9947907778441004,0.14068101346492767,0.07941154390573502,0.06126946955919266,0.523864053540069
552,0.9655566725914805,0.9918800759538187,0.04178600385785103,-0.02025200054049492,0.06203800439834595,0.4670357427760655
553,0.9671494756764691,0.9952749744438488,0.08544500172138214,0.025462966412305832,0.05998203158378601,0.46672703049013053
554,0.9671834479009139,0.9910940097520768,0.021556571125984192,-0.03843314200639725,0.05998971313238144,0.4551416062120487
555,0.9657332859639822,0.9986915618026304,0.13140925765037537,0.06812307238578796,0.0632861778140068,0.5987355043950551
556,0.9656015869183794,0.9889366272662491,0.12211984395980835,0.05490044131875038,0.06721939891576767,0.5277478841343244
557,0.9656838452316773,0.9939739552979013,0.05199785530567169,-0.007336629554629326,0.05933448672294617,0.6098019438976776
558,0.9659963176230646,0.9958184126210575,-0.0016590617597103119,-0.05867292359471321,0.0570138618350029,0.4415295916544819
559,0.9667165124438164,0.9921558109421879,0.13296127319335938,0.06783004850149155,0.06513121724128723,0.5902539587868203
560,0.965907373814305,0.9927162461611271,0.08283821493387222,0.018721161410212517,0.06411705166101456,0.574060229257509
561,0.9668879254581937,0.9928917916330569,0.09523497521877289,0.03527002036571503,0.05996495485305786,0.7398376129351698
562,0.967691792630738,0.9935259555574736,0.10662688314914703,0.049842607229948044,0.05678427219390869,0.6597346870583832
563,0.9633133086939896,0.9914892210667585,-0.012967336922883987,-0.07498437911272049,0.0620170421898365,0.536715396823871
564,0.9620886173324967,0.9968707222641177,0.08114089071750641,0.021386105567216873,0.059754788875579834,0.5913750101358513
565,0.9617286436872897,0.9915728412423402,0.2089080959558487,0.14709186553955078,0.061816226691007614,0.53489155307393
